EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=1 size(Mib)=3814.697
func,u,s,e
fast,0.222662,0.001001,0.111930,
slow_a,0.997459,0.000000,0.498899,
slow_b,2.967933,0.000000,1.484209,
slow_c,6.388020,0.000000,3.203499,
slow_d,14.999976,31.906005,23.563861,
slow_e,3.084143,0.000477,1.542540,
slow_f,0.267066,0.000000,0.164715,

