thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,7859260,283093614,774293017,2170813167,
1,0,slow_a,7860572,2665593977,2222652340,6592061706,
1,0,slow_b,7864761,2160577130,2820564679,6552083940,
1,0,slow_c,7874052,1660596226,12708822680,5052064908,
1,0,slow_d,7886946,6160596623,25307022457,14552070896,
1,0,slow_e,508209181,1910579091,6117418111,5083451803,
1,0,slow_f,7860522,191849016,911917830,2145837988,
2,1,fast,7872026,283100641,1376785493,2190829824,
2,1,slow_a,7865917,2665598580,4466267718,6612076946,
2,1,slow_b,7947821,2160589724,12222972769,6572118350,
2,1,slow_c,7890534,1660600918,20267568601,5072081559,
2,1,slow_d,8070610,6864806865,48326802694,17955395648,
2,1,slow_e,391758350,1910574925,9408420208,5103476658,
2,1,slow_f,7868459,191859387,1510793957,2165874699,
2,0,fast,7863622,283100239,1098416203,2190829335,
2,0,slow_a,7873007,2665602054,2527280278,6612082503,
2,0,slow_b,195290214,2160599205,18862948320,6572113821,
2,0,slow_c,649306489,1660580972,104613041266,5072103475,
2,0,slow_d,1167933466,7439254105,139434186661,20618848353,
2,0,slow_e,640760775,1910474196,11373543795,5103471418,
2,0,slow_f,7875344,191859314,1227704202,2165874601,
