EXPERIMENT thread=2 width=100 height=100000 repeat=25 hyperthread=0 size(Mib)=3814.697
func,u,s,e
fast,0.158477,0.000020,0.080474,
slow_a,0.529060,0.000000,0.265805,
slow_b,4.355104,0.000000,2.210825,
slow_c,26.514505,0.000000,13.304469,
slow_d,39.306579,42.502104,40.952496,
slow_e,3.996488,0.002483,2.002841,
slow_f,0.193569,0.000000,0.128859,

