cmd=limits lib=pthread power=28
threads,sys,user,elapsed
1,0.000,1.703,1.713
2,0.000,2.747,1.810
3,0.003,2.373,1.207
4,0.000,2.310,0.920
5,0.000,2.237,0.753
6,0.000,2.360,0.663
7,0.000,2.330,0.563
8,0.000,2.343,0.547
