cmd=limits lib=tbb power=28
threads,sys,user,elapsed
1,0.000,1.703,1.707
2,0.000,0.000,0.017
3,0.007,0.000,0.087
4,0.010,0.000,0.027
5,0.010,0.000,0.030
6,0.010,0.000,0.023
7,0.010,0.000,0.030
8,0.013,0.000,0.027
