draw,serial,28,1,0.35,5.06,5.49
draw,serial,28,1,0.34,4.98,5.44
draw,serial,28,1,0.36,5.00,5.45
limits,serial,28,1,0.00,1.72,1.72
limits,serial,28,1,0.02,1.68,1.71
limits,serial,28,1,0.00,1.74,1.74
draw,serial,28,1,0.00,0.00,0.00
draw,serial,28,1,0.00,0.00,0.00
draw,serial,28,1,0.00,0.00,0.00
limits,serial,28,1,0.00,0.00,0.00
limits,serial,28,1,0.00,0.00,0.00
limits,serial,28,1,0.00,0.00,0.00
draw,serial,28,1,0.34,4.86,5.30
draw,serial,28,1,0.31,4.91,5.31
draw,serial,28,1,0.33,4.87,5.29
limits,serial,28,1,0.00,1.66,1.66
limits,serial,28,1,0.00,1.65,1.66
limits,serial,28,1,0.00,1.65,1.66
draw,pthread,28,1,0.31,4.88,5.28
draw,pthread,28,1,0.31,4.88,5.28
draw,pthread,28,1,0.30,4.88,5.28
draw,pthread,28,2,0.45,7.25,4.43
draw,pthread,28,2,0.43,6.46,4.05
draw,pthread,28,2,0.50,6.51,4.13
draw,pthread,28,3,0.50,6.88,3.32
draw,pthread,28,3,0.49,6.94,3.23
draw,pthread,28,3,0.47,6.07,2.93
draw,pthread,28,4,0.48,6.30,2.48
draw,pthread,28,4,0.51,6.46,2.55
draw,pthread,28,4,0.47,6.76,2.60
draw,pthread,28,5,0.47,7.31,2.35
draw,pthread,28,5,0.48,6.77,2.27
draw,pthread,28,5,0.47,6.71,2.33
draw,pthread,28,6,0.54,7.14,1.89
draw,pthread,28,6,0.56,7.82,2.11
draw,pthread,28,6,0.57,7.49,2.07
draw,pthread,28,7,0.52,7.68,1.83
draw,pthread,28,7,0.56,7.95,1.86
draw,pthread,28,7,0.51,7.84,1.82
draw,pthread,28,8,0.52,7.90,1.73
draw,pthread,28,8,0.58,7.83,1.67
draw,pthread,28,8,0.56,8.79,1.84
draw,tbb,28,1,0.36,4.91,5.34
draw,tbb,28,1,0.35,4.93,5.41
draw,tbb,28,1,0.31,4.95,5.36
draw,tbb,28,2,0.00,0.00,0.02
draw,tbb,28,2,0.02,0.01,0.04
draw,tbb,28,2,0.02,0.00,0.12
draw,tbb,28,3,0.03,0.01,0.11
draw,tbb,28,3,0.01,0.00,0.03
draw,tbb,28,3,0.01,0.00,0.03
draw,tbb,28,4,0.02,0.00,0.03
draw,tbb,28,4,0.01,0.00,0.03
draw,tbb,28,4,0.01,0.00,0.02
draw,tbb,28,5,0.01,0.00,0.02
draw,tbb,28,5,0.02,0.00,0.02
draw,tbb,28,5,0.01,0.00,0.04
draw,tbb,28,6,0.01,0.00,0.02
draw,tbb,28,6,0.02,0.00,0.02
draw,tbb,28,6,0.02,0.00,0.06
draw,tbb,28,7,0.01,0.00,0.04
draw,tbb,28,7,0.02,0.01,0.03
draw,tbb,28,7,0.02,0.00,0.02
draw,tbb,28,8,0.03,0.01,0.06
draw,tbb,28,8,0.02,0.00,0.03
draw,tbb,28,8,0.02,0.00,0.03
limits,pthread,28,1,0.00,1.67,1.68
limits,pthread,28,1,0.00,1.67,1.68
limits,pthread,28,1,0.00,1.77,1.78
limits,pthread,28,2,0.00,2.79,1.83
limits,pthread,28,2,0.00,2.81,1.85
limits,pthread,28,2,0.00,2.64,1.75
limits,pthread,28,3,0.00,2.34,1.19
limits,pthread,28,3,0.00,2.42,1.24
limits,pthread,28,3,0.01,2.36,1.19
limits,pthread,28,4,0.00,2.36,0.94
limits,pthread,28,4,0.00,2.36,0.92
limits,pthread,28,4,0.00,2.21,0.90
limits,pthread,28,5,0.00,2.23,0.74
limits,pthread,28,5,0.00,2.22,0.76
limits,pthread,28,5,0.00,2.26,0.76
limits,pthread,28,6,0.00,2.46,0.68
limits,pthread,28,6,0.00,2.34,0.65
limits,pthread,28,6,0.00,2.28,0.66
limits,pthread,28,7,0.00,2.30,0.59
limits,pthread,28,7,0.00,2.34,0.54
limits,pthread,28,7,0.00,2.35,0.56
limits,pthread,28,8,0.00,2.34,0.54
limits,pthread,28,8,0.00,2.37,0.55
limits,pthread,28,8,0.00,2.32,0.55
limits,tbb,28,1,0.00,1.69,1.69
limits,tbb,28,1,0.00,1.72,1.73
limits,tbb,28,1,0.00,1.70,1.70
limits,tbb,28,2,0.00,0.00,0.02
limits,tbb,28,2,0.00,0.00,0.02
limits,tbb,28,2,0.00,0.00,0.01
limits,tbb,28,3,0.01,0.00,0.03
limits,tbb,28,3,0.01,0.00,0.10
limits,tbb,28,3,0.00,0.00,0.13
limits,tbb,28,4,0.01,0.00,0.03
limits,tbb,28,4,0.01,0.00,0.03
limits,tbb,28,4,0.01,0.00,0.02
limits,tbb,28,5,0.01,0.00,0.04
limits,tbb,28,5,0.01,0.00,0.03
limits,tbb,28,5,0.01,0.00,0.02
limits,tbb,28,6,0.01,0.00,0.03
limits,tbb,28,6,0.01,0.00,0.02
limits,tbb,28,6,0.01,0.00,0.02
limits,tbb,28,7,0.01,0.00,0.03
limits,tbb,28,7,0.01,0.00,0.02
limits,tbb,28,7,0.01,0.00,0.04
limits,tbb,28,8,0.02,0.00,0.02
limits,tbb,28,8,0.01,0.00,0.04
limits,tbb,28,8,0.01,0.00,0.02
