cmd=draw lib=tbb power=28
threads,sys,user,elapsed
1,0.340,4.930,5.370
2,0.013,0.003,0.060
3,0.017,0.003,0.057
4,0.013,0.000,0.027
5,0.013,0.000,0.027
6,0.017,0.000,0.033
7,0.017,0.003,0.030
8,0.023,0.003,0.040
